Nombre,Edad,EstadoCivil,Hijos,Residencia,propiedades,vivienda,educacion,empleo,telefono,Ingreso,balance,creditos_otro,suscrito notificaciones,Cta_Ahorros,Cta_Corriente,tarjeta_credito,monto_credito,duracion,tasa_mensual,mora_otros,Limite_Credito,razonPrestamo
Ovidio Huerta,67,H Soltero,1,4,Propietario de Bienes Raices,Propietario,primaria,Dependiente,No,Menor a 25000,1787,ninguno,0,NO,NO,0,1169,6,4,no,Sin linea de crédito,Viaje
Eufemia Gras-Bolaños,22,F divorciada,3,2,Propietario de Bienes Raices,Propietario,secundaria,Dependiente,Si,25000-45000,4789,ninguno,1,NO,SI,1,5951,48,2,no,entre 0-5000,Viaje
Luis Miguel Óscar Calatayud Estévez,49,H Soltero,0,3,Propietario de Bienes Raices,Propietario,Superior,Técnico,Si,Menor a 25000,1350,ninguno,0,SI,SI,0,2096,12,2,no,Sin limite,Estudios
Victorino Lledó Coello,45,H Soltero,3,4,Propietario apartamentos,Propietario,Superior,Dependiente,Si,Menor a 25000,1476,ninguno,0,NO,SI,0,7882,42,2,no,Sin linea de crédito,Mejora Vivienda
Albert Pujadas,53,H Soltero,0,4,desconocido/ninguno,Propietario,secundaria,Dependiente,Si,Mayor a 45000,0,ninguno,1,SI,NO,0,4870,24,3,no,Sin linea de crédito,Vehículo
Eutimio Frutos,35,H Soltero,2,4,desconocido/ninguno,Propietario,Superior,Técnico,No,25000-45000,747,ninguno,0,SI,SI,0,9055,36,2,no,Sin limite,Estudios
Maximino Priego Salcedo,53,H Soltero,0,4,Propietario apartamentos,Contrato A,Superior,Dependiente,Si,Menor a 25000,307,ninguno,0,NO,SI,0,2835,24,3,no,Sin limite,Mejora Vivienda
Wálter Artigas Otero,35,H Soltero,0,2,Propietario automóviles,Alquiler,secundaria,Empresario,No,25000-45000,147,ninguno,0,SI,SI,0,6948,36,2,no,entre 0-5000,Divisas 
Jordán Ochoa-Alberto,61,H divorciado,2,4,Propietario de Bienes Raices,Propietario,Superior,Técnico,Si,25000-45000,221,ninguno,0,NO,NO,0,3059,12,2,no,Sin limite,Viaje
Manolo Barco,28,H Casado,2,2,Propietario automóviles,Propietario,primaria,Empresario,Si,Menor a 25000,-88,ninguno,1,SI,SI,0,5234,30,4,no,entre 0-5000,Vehículo
Nidia Puerta Coello,25,F Soltera,0,1,Propietario automóviles,Alquiler,secundaria,Dependiente,Si,Mayor a 45000,9374,ninguno,1,SI,SI,0,1295,12,3,no,entre 0-5000,Vehículo
Felisa África Sancho Carnero,24,F divorciada,0,4,Propietario apartamentos,Alquiler,secundaria,Dependiente,Si,25000-45000,264,ninguno,1,SI,SI,1,4308,48,3,no,Sin linea de crédito,Negocio
Imelda Querol,22,F divorciada,1,1,Propietario automóviles,Contrato A,Superior,Dependiente,No,Menor a 25000,1109,ninguno,0,SI,SI,1,1567,12,1,no,entre 0-5000,Viaje
Ariel Madrigal Riera,60,H Soltero,1,4,Propietario automóviles,Propietario,secundaria,Técnico,Si,Mayor a 45000,502,ninguno,1,SI,SI,1,1199,24,4,no,Sin linea de crédito,Vehículo
Zaira Aragón,28,F Casada,0,4,Propietario automóviles,Alquiler,secundaria,Dependiente,Si,Menor a 25000,360,ninguno,0,SI,SI,1,1403,15,2,no,Sin linea de crédito,Vehículo
Flora Fábregas-Castillo,32,F Casada,0,2,Propietario automóviles,Propietario,Superior,Técnico,Si,Menor a 25000,194,ninguno,1,SI,SI,1,1282,24,4,no,Sin linea de crédito,Viaje
Íñigo Alcázar Barranco,53,H Soltero,2,4,Propietario apartamentos,Propietario,secundaria,Dependiente,Si,Menor a 25000,4073,ninguno,0,NO,NO,1,2424,24,4,no,Sin limite,Viaje
Lázaro Soriano Neira,25,H Soltero,0,3,Propietario automóviles,Propietario,Superior,Dependiente,Si,25000-45000,2317,Bancario,0,SI,NO,1,8072,30,2,no,Sin linea de crédito,Negocio
Vilma Carrillo Feliu,44,F Casada,0,2,desconocido/ninguno,Propietario,primaria,Empresario,No,25000-45000,-221,ninguno,1,SI,NO,0,12579,24,4,no,entre 0-5000,Divisas 
Leopoldo Zorrilla Vaquero,31,H Soltero,0,2,Propietario automóviles,Propietario,secundaria,Dependiente,No,Menor a 25000,132,ninguno,0,SI,SI,0,3430,24,3,no,Sin limite,Viaje
Pedro Mendizábal-Pérez,48,H Soltero,2,4,Propietario automóviles,Contrato A,desconocido,Dependiente,No,Mayor a 45000,0,ninguno,0,SI,NO,0,2134,9,4,no,Sin limite,Vehículo
Segismundo Gallart Morell,44,H Soltero,2,3,Propietario de Bienes Raices,Alquiler,Superior,Dependiente,Si,Menor a 25000,16,ninguno,0,SI,SI,0,2647,6,2,no,Sin linea de crédito,Viaje
Samu Palma Verdugo,48,H Soltero,0,3,Propietario de Bienes Raices,Alquiler,secundaria,Técnico,Si,25000-45000,106,ninguno,0,SI,SI,0,2241,10,1,no,Sin linea de crédito,Vehículo
Cesar del Blazquez,44,H Soltero,0,4,Propietario apartamentos,Propietario,secundaria,Dependiente,Si,Menor a 25000,93,ninguno,0,SI,SI,1,1804,12,3,no,entre 0-5000,Divisas 
Iván Gallego Puig,26,H Casado,2,1,Propietario automóviles,Propietario,Superior,Dependiente,Si,Menor a 25000,543,ninguno,0,SI,SI,0,2069,10,2,no,Sin limite,Mejora Vivienda
Teo Flor,36,H Soltero,0,2,Propietario de Bienes Raices,Propietario,Superior,Técnico,No,25000-45000,5883,Bancario,0,SI,SI,1,1374,6,1,no,Sin linea de crédito,Mejora Vivienda
Édgar Vega-Corominas,39,H Casado,0,4,Propietario automóviles,Propietario,primaria,Técnico,Si,Menor a 25000,627,ninguno,0,SI,SI,1,426,6,4,no,Sin limite,Viaje
Teodora Pedrero-Adadia,42,F Soltera,1,3,Propietario de Bienes Raices,Alquiler,desconocido,Dependiente,Si,Menor a 25000,696,ninguno,0,NO,SI,0,409,12,3,no,mayor 5000,Viaje
Fernando Valencia Cepeda,34,H Soltero,3,2,Propietario de Bienes Raices,Propietario,secundaria,Dependiente,Si,25000-45000,784,ninguno,0,NO,SI,1,2415,7,3,no,entre 0-5000,Viaje
René Tenorio,63,H Soltero,1,4,desconocido/ninguno,Propietario,secundaria,Dependiente,No,Menor a 25000,105,ninguno,1,NO,SI,0,6836,60,3,no,Sin linea de crédito,Negocio
Asdrubal Díaz Casanovas,36,H Casado,2,3,Propietario de Bienes Raices,Propietario,secundaria,Dependiente,No,Menor a 25000,4189,Bancario,0,SI,SI,0,1913,18,3,no,entre 0-5000,Negocio
Calisto Martí Barba,27,H Soltero,2,2,Propietario automóviles,Propietario,secundaria,Dependiente,Si,Menor a 25000,171,Préstamo a plazo,0,SI,NO,0,4020,24,2,no,Sin linea de crédito,Mejora Vivienda
Pepe Plana,30,H Soltero,1,2,Propietario automóviles,Propietario,secundaria,Dependiente,No,Menor a 25000,42,ninguno,0,SI,SI,0,5866,18,2,no,entre 0-5000,Vehículo
Octavio Galvez Bonet,57,H Soltero,3,4,desconocido/ninguno,Alquiler,Superior,Técnico,Si,25000-45000,2536,ninguno,0,SI,NO,0,1264,12,4,no,Sin limite,Negocio
Jordana Vilar Puga,33,F divorciada,0,1,Propietario apartamentos,Propietario,Superior,Empresario,No,25000-45000,1235,Bancario,0,SI,SI,0,1474,12,4,no,mayor 5000,Mejora Vivienda
Gervasio de Barros,25,H Soltero,2,2,Propietario apartamentos,Propietario,secundaria,Técnico,Si,Menor a 25000,1811,ninguno,1,SI,SI,0,4746,45,4,no,entre 0-5000,Viaje
Custodio del Guzmán,31,H Soltero,3,3,desconocido/ninguno,Propietario,primaria,Dependiente,No,Menor a 25000,229,Bancario,0,SI,SI,0,6110,48,1,no,Sin limite,Estudios
Rafael Lucena Becerra,37,H Soltero,0,2,Propietario de Bienes Raices,Propietario,secundaria,Dependiente,Si,Menor a 25000,2089,Préstamo a plazo,1,NO,SI,0,2100,18,4,no,mayor 5000,Viaje
Andrés Felipe de Riba,37,H Soltero,0,2,Propietario automóviles,Propietario,secundaria,Dependiente,No,Menor a 25000,3935,ninguno,0,SI,SI,0,1225,10,2,no,mayor 5000,Electrodomésticos
Rómulo Viñas Castejón,24,H Soltero,2,3,Propietario de Bienes Raices,Propietario,Superior,Dependiente,Si,25000-45000,363,ninguno,0,NO,SI,0,458,9,4,no,entre 0-5000,Viaje
Edmundo Prat Jimenez,30,H Soltero,0,2,Propietario automóviles,Propietario,Superior,Empresario,Si,25000-45000,11971,Bancario,0,NO,SI,1,2333,30,4,no,Sin limite,Viaje
Óscar Narváez Alcalde,26,H divorciado,0,1,Propietario automóviles,Propietario,Superior,Dependiente,No,25000-45000,553,ninguno,0,NO,SI,0,1158,12,3,no,entre 0-5000,Viaje
Benito Chus Bou Asensio,44,H Soltero,2,4,Propietario de Bienes Raices,Propietario,secundaria,Técnico,No,Mayor a 45000,1117,ninguno,0,SI,NO,0,6204,18,2,no,entre 0-5000,Mejoras del hogar
Lucho Diéguez Pardo,24,H Casado,0,4,Propietario automóviles,Alquiler,Superior,Dependiente,Si,25000-45000,396,ninguno,0,NO,SI,1,6187,30,1,no,Sin linea de crédito,Divisas 
Juana Pujadas Valbuena,58,F divorciada,2,4,desconocido/ninguno,Propietario,Superior,Técnico,Si,Menor a 25000,2204,Préstamo a plazo,1,SI,SI,1,6143,48,4,no,Sin linea de crédito,Divisas 
Evangelina Corral,35,F Casada,2,4,Propietario automóviles,Propietario,Superior,Empresario,Si,Mayor a 45000,872,ninguno,0,SI,SI,1,1393,11,4,no,Sin limite,Vehículo
Isaac Cobos Mesa,39,H Soltero,1,4,Propietario automóviles,Propietario,primaria,Dependiente,Si,Menor a 25000,145,ninguno,0,SI,SI,0,2299,36,4,no,Sin limite,Viaje
Guiomar Galiano Camacho,23,F divorciada,2,2,Propietario apartamentos,Alquiler,primaria,No calificado,No,Menor a 25000,0,ninguno,0,SI,SI,1,1352,6,1,no,Sin linea de crédito,Divisas 
Fidel Porcel Jover,39,H Soltero,2,4,Propietario apartamentos,Contrato A,primaria,Técnico,Si,25000-45000,-849,ninguno,0,NO,SI,0,7228,11,1,si,Sin limite,Vehículo
Azahara del Pomares,28,F Casada,2,2,Propietario de Bienes Raices,Propietario,desconocido,Dependiente,Si,Menor a 25000,4629,ninguno,0,SI,NO,0,2073,12,4,no,Sin limite,Viaje
Hernán Carballo-Pozo,29,H Soltero,2,2,Propietario apartamentos,Propietario,primaria,Técnico,Si,Menor a 25000,844,Bancario,0,SI,NO,0,2333,24,4,no,entre 0-5000,Mejora Vivienda
Maximiliano Ponce Martín,30,H Soltero,0,2,Propietario automóviles,Propietario,secundaria,Empresario,No,Menor a 25000,228,ninguno,0,NO,NO,0,5965,27,1,no,entre 0-5000,Divisas 
José Manuel Barragán Rosales,25,H Soltero,1,2,Propietario automóviles,Propietario,secundaria,Dependiente,Si,Menor a 25000,50,ninguno,0,SI,SI,0,1262,12,3,no,Sin limite,Viaje
Armando Nando Beltrán Cánovas,31,H Soltero,1,1,Propietario apartamentos,Propietario,Superior,Dependiente,No,25000-45000,1539,ninguno,0,SI,SI,0,3378,18,2,no,Sin limite,Divisas 
Rosendo Echevarría Sanjuan,57,H Soltero,0,4,desconocido/ninguno,Propietario,secundaria,Dependiente,No,Mayor a 45000,2231,Bancario,1,SI,SI,1,2225,36,4,no,entre 0-5000,Vehículo
Néstor Pascual Ferrández,26,H Soltero,3,2,Propietario de Bienes Raices,Contrato A,secundaria,Técnico,Si,Mayor a 45000,3064,Préstamo a plazo,0,SI,NO,0,783,6,1,no,Sin limite,Vehículo
Yago Cortés-Frutos,52,H Soltero,0,1,desconocido/ninguno,Propietario,secundaria,Empresario,No,25000-45000,82,ninguno,1,NO,SI,0,6468,12,2,no,entre 0-5000,Viaje
Calixta Guzman Casal,31,F divorciada,0,2,Propietario automóviles,Propietario,Superior,Dependiente,Si,Menor a 25000,2155,Préstamo a plazo,0,SI,SI,0,9566,36,2,no,Sin limite,Viaje
Esperanza Juliá Murcia,23,F divorciada,0,2,Propietario automóviles,Propietario,secundaria,Empresario,Si,Menor a 25000,101,ninguno,0,NO,SI,0,1961,18,3,no,mayor 5000,Vehículo
Abril Tolosa Iglesias,23,F Casada,1,4,desconocido/ninguno,Alquiler,secundaria,Técnico,No,25000-45000,784,ninguno,1,SI,SI,1,6229,36,4,no,Sin linea de crédito,Mejora Vivienda
Joan Marti Iñiguez,27,H Casado,1,1,Propietario de Bienes Raices,Propietario,primaria,Dependiente,No,25000-45000,-516,Bancario,0,SI,SI,1,1391,9,2,no,entre 0-5000,Negocio
Rómulo Cañete Solé,50,H Soltero,1,4,Propietario de Bienes Raices,Propietario,secundaria,Dependiente,No,25000-45000,415,ninguno,0,NO,SI,0,1537,15,4,no,entre 0-5000,Viaje
Florina Sarabia Quevedo,26,F Casada,2,4,Propietario apartamentos,Propietario,Superior,Dependiente,No,25000-45000,5887,ninguno,0,SI,SI,0,3181,24,4,no,Sin limite,Viaje
Fito Godoy-Carnero,48,H Soltero,0,4,Propietario apartamentos,Propietario,secundaria,Dependiente,No,Menor a 25000,1355,ninguno,0,SI,NO,0,5190,27,4,no,Sin limite,Mejoras del hogar
Maxi Uribe Peña,29,F Casada,0,2,Propietario automóviles,Propietario,secundaria,Dependiente,Si,Menor a 25000,16873,Bancario,0,SI,SI,1,2171,12,2,no,Sin limite,Viaje
Primitivo del Montes,22,H Casado,0,1,Propietario de Bienes Raices,Propietario,secundaria,Dependiente,Si,Menor a 25000,203,ninguno,0,SI,SI,0,1007,12,4,no,entre 0-5000,Vehículo
Jenaro Vaquero Borrell,37,H Soltero,2,4,desconocido/ninguno,Propietario,secundaria,Dependiente,No,Menor a 25000,338,Préstamo a plazo,1,SI,SI,0,1819,36,4,no,Sin limite,Estudios
María Dolores Carmen Ferreras Pedrero,25,F Soltera,0,4,Propietario automóviles,Propietario,secundaria,Dependiente,Si,25000-45000,444,ninguno,0,SI,SI,1,2394,36,4,no,Sin limite,Viaje
